YEAR  MO  DA  HR      LAT       LON   CO2 10000
2012   1   1  12  37.6668  -80.2246  0.8978E-09
2012   1   1  12  37.7168  -80.2246  0.3029E-09
2012   1   1  12  36.8668  -80.1746  0.1716E-09
2012   1   1  12  36.9168  -80.1746  0.1716E-09
2012   1   1  12  36.9668  -80.1746  0.1800E-09
2012   1   1  12  37.0168  -80.1746  0.7940E-09
2012   1   1  12  37.0668  -80.1746  0.1405E-08
2012   1   1  12  37.1168  -80.1746  0.3849E-08
2012   1   1  12  37.1668  -80.1746  0.3264E-08
2012   1   1  12  37.2168  -80.1746  0.3311E-08
2012   1   1  12  37.2668  -80.1746  0.3086E-08
2012   1   1  12  37.3168  -80.1746  0.4476E-08
2012   1   1  12  37.3668  -80.1746  0.3364E-08
2012   1   1  12  37.4168  -80.1746  0.2992E-08
2012   1   1  12  37.4668  -80.1746  0.3035E-08
2012   1   1  12  37.5168  -80.1746  0.3274E-08
2012   1   1  12  37.5668  -80.1746  0.2522E-08
2012   1   1  12  37.6168  -80.1746  0.1475E-08
2012   1   1  12  37.6668  -80.1746  0.5882E-09
2012   1   1  12  37.7168  -80.1746  0.4406E-09
2012   1   1  12  37.7668  -80.1746  0.7576E-10
2012   1   1  12  36.9168  -80.1246  0.2575E-09
2012   1   1  12  36.9668  -80.1246  0.8586E-10
2012   1   1  12  37.0168  -80.1246  0.4420E-09
2012   1   1  12  37.0668  -80.1246  0.9705E-09
2012   1   1  12  37.1168  -80.1246  0.2451E-08
2012   1   1  12  37.1668  -80.1246  0.2783E-08
2012   1   1  12  37.2168  -80.1246  0.3185E-08
2012   1   1  12  37.2668  -80.1246  0.3004E-08
2012   1   1  12  37.3168  -80.1246  0.3830E-08
2012   1   1  12  37.3668  -80.1246  0.3249E-08
2012   1   1  12  37.4168  -80.1246  0.2613E-08
2012   1   1  12  37.4668  -80.1246  0.3349E-08
2012   1   1  12  37.5168  -80.1246  0.2582E-08
2012   1   1  12  37.5668  -80.1246  0.2633E-08
2012   1   1  12  37.6168  -80.1246  0.2001E-08
2012   1   1  12  37.6668  -80.1246  0.9563E-09
2012   1   1  12  37.7168  -80.1246  0.5129E-09
2012   1   1  12  37.7668  -80.1246  0.1447E-09
2012   1   1  12  37.8168  -80.1246  0.7237E-10
2012   1   1  12  36.9168  -80.0746  0.8584E-10
2012   1   1  12  36.9668  -80.0746  0.2576E-09
2012   1   1  12  37.0168  -80.0746  0.1801E-09
2012   1   1  12  37.0668  -80.0746  0.7044E-09
