eGRID2012 file generator sequence number,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Generator ID,Number of associated boilers,Generator status,Generator prime mover type,Generator primary fuel,Generator nameplate capacity (MW),Generator capacity factor,Generator annual net generation (MWh),Generator ozone season net generation (MWh),Generation data source,Generator year on-line,Notes
13683,NC,Uwharrie Mountain Renewable,58526,3,0,U,IC,LFG,1.6,0,0,0,,2014,
13684,NC,Uwharrie Mountain Renewable,58526,4,0,U,IC,LFG,1.6,0,0,0,,2014,
13685,NC,Uwharrie Mountain Renewable,58526,5,0,U,IC,LFG,1.6,0,0,0,,2014,
13686,NC,Uwharrie Mountain Renewable,58526,6,0,U,IC,LFG,1.6,0,0,0,,2014,
13687,NC,W H Weatherspoon,2716,1,1,RE,ST,BIT,46,0,0,0,,1949,
13688,NC,W H Weatherspoon,2716,2,1,RE,ST,BIT,46,0,0,0,,1950,
13689,NC,W H Weatherspoon,2716,3,1,RE,ST,BIT,73.5,0,0,0,,1952,
13690,NC,W H Weatherspoon,2716,GT1,0,OP,GT,DFO,39.7,0,0,0,,1970,
13691,NC,W H Weatherspoon,2716,GT2,0,OP,GT,DFO,39.7,0,0,0,,1970,
13692,NC,W H Weatherspoon,2716,GT3,0,OP,GT,DFO,48.6,0,0,0,,1971,
13693,NC,W H Weatherspoon,2716,GT4,0,OP,GT,DFO,48.6,0,0,0,,1971,
13694,NC,Walters,2715,1,0,OP,HY,WAT,36,0,0,0,,1930,
13695,NC,Walters,2715,2,0,OP,HY,WAT,36,0,0,0,,1930,
13696,NC,Walters,2715,3,0,OP,HY,WAT,36,0,0,0,,1930,
13697,NC,Ward WTP,57607,1,0,OP,IC,DFO,1,0,0,0,,1999,
13698,NC,Ward WTP,57607,2,0,OP,IC,DFO,1,0,0,0,,1999,
13699,NC,Warrenton Farm,58312,1,0,OP,PV,SUN,4,0.228224886,7997,0,F923NONK,2012,
13700,NC,Washington White Post Solar LLC,58135,1,0,OP,PV,SUN,12.4,0,0,0,F923NONK,2012,
13701,NC,Waste Management Piedmont LFGTE Project,57169,GEN1,0,OP,IC,LFG,0.8,0,0,0,,2011,
13702,NC,Waste Management Piedmont LFGTE Project,57169,GEN2,0,OP,IC,LFG,0.8,0,0,0,,2011,
13703,NC,Waste Management Piedmont LFGTE Project,57169,GEN3,0,OP,IC,LFG,0.8,0,0,0,,2011,
13704,NC,Water Filter Plant #2,55534,1299,0,U,IC,DFO,1.8,0,0,0,,2013,
